,dataset,SR,SR_time,TPOT,TPOTSR,AK,AKSR,LR,timeTPOT,timeTPOTSR,timeAK,timeAKSR,meanguess,generations,function_set,epochs,max_TPOT_time,
81,0-guo1ys.csv,57.53332374,147.5310819,31.43065841,29.18198619,37.63266577,35.51396849,41.61759512,619.7924228,780.1427188,4085.299057,4227.378788,123.6059887,50,"['add', 'sub', 'mul', 'div']",,10,
82,0-guo1ys.csv,54.04211057,229.0706356,29.01982802,28.79242717,38.07015931,36.69078792,52.03420107,764.7485785,780.2777383,3179.505153,1863.238707,123.5007336,50,"['add', 'sub', 'mul', 'div']",,10,
83,0-guo1ys.csv,52.37876752,94.46317649,34.72238267,29.76687876,38.02494984,36.0303001,41.61759512,665.1720076,811.695977,2254.596188,1249.387718,123.6059887,50,"['add', 'sub', 'mul', 'div']",,10,
84,0-guo1ys.csv,52.43850059,288.970253,34.0089747,29.47491966,38.2471325,35.89759882,52.90219991,731.866255,683.1144662,5838.834381,2478.012333,123.2006609,50,"['add', 'sub', 'mul', 'div']",,10,
85,0-guo1ys.csv,58.16526288,158.8609052,28.9009409,28.89023224,36.54264726,37.07306058,42.16635587,753.8667412,815.3228304,5630.612731,4436.578325,123.1695191,50,"['add', 'sub', 'mul', 'div']",,10,
86,0-guo1ys.csv,59.474901,310.1008468,29.27987061,30.41952565,38.6248302,37.41876172,42.11821058,711.2425296,667.2810736,6141.079411,4438.180082,122.2435187,50,"['add', 'sub', 'mul', 'div']",,10,
87,0-guo1ys.csv,46.01213687,271.5927596,29.4714165,29.71756134,37.79342018,35.28021051,41.61759512,642.8055956,962.1679571,2518.060818,2403.412019,123.6059887,50,"['add', 'sub', 'mul', 'div']",,10,
88,0-guo1ys.csv,52.2660813,363.4913144,30.53278928,29.47717587,37.43728464,35.71111004,42.21373128,652.3272772,691.924902,7000.511746,5263.613966,122.2279026,50,"['add', 'sub', 'mul', 'div']",,10,
89,0-guo1ys.csv,52.60924507,186.8829837,29.50441506,29.81911964,38.01415628,35.72998186,42.86791314,757.9366646,823.0669167,1231.029368,1501.814546,123.1728536,50,"['add', 'sub', 'mul', 'div']",,10,
90,0-guo1ys.csv,53.0711336,131.9645612,29.02858707,32.88490733,37.16039394,35.62690406,41.91457935,784.3354428,652.9727607,5917.709875,3024.057714,123.5443095,50,"['add', 'sub', 'mul', 'div']",,10,
91,0-guo1ys.csv,50.97381422,248.0503607,29.05182352,29.91479149,37.73382798,37.23493218,41.64728392,758.2968578,818.7245693,9347.565322,4613.534409,122.1639761,50,"['add', 'sub', 'mul', 'div']",,10,
92,0-guo1ys.csv,50.94739641,167.9761746,29.25944037,34.84959187,38.11053605,34.90914093,42.28521985,708.8818729,622.9675386,2755.119553,3785.541942,123.5246291,50,"['add', 'sub', 'mul', 'div']",,10,
93,0-guo1ys.csv,48.3374688,480.3751228,29.75803646,29.31016688,38.07017555,34.55305948,41.87245857,637.5890145,727.8389101,2678.00875,4910.266934,123.6709157,50,"['add', 'sub', 'mul', 'div']",,10,
94,0-guo1ys.csv,47.70173045,556.418576,29.16637091,29.54700461,37.79186768,35.23020552,41.46724193,913.7718306,726.7719219,3511.650746,4683.13448,123.0100078,50,"['add', 'sub', 'mul', 'div']",,10,
95,0-guo1ys.csv,55.47905093,229.6213374,29.42060473,31.85766503,37.1468456,36.17028201,42.44230494,622.6048374,862.4064403,2809.335414,1469.719138,124.3233197,50,"['add', 'sub', 'mul', 'div']",,10,
96,0-guo1ys.csv,51.71230828,405.8957129,39.1892237,43.88822643,37.44173411,36.30908448,42.16635587,875.8358631,759.7186723,5492.694519,3284.942486,123.1695191,50,"['add', 'sub', 'mul', 'div']",,10,
